user:id,score,leaderboard
user:1,19,leaderboard:3
user:2,487,leaderboard:3
user:3,308,leaderboard:2
user:4,321,leaderboard:2
user:5,440,leaderboard:2
user:6,267,leaderboard:2
user:7,362,leaderboard:3
user:8,394,leaderboard:2
user:9,262,leaderboard:3
user:10,27,leaderboard:3
user:11,316,leaderboard:3
user:12,173,leaderboard:2
user:13,105,leaderboard:2
user:14,327,leaderboard:3
user:15,20,leaderboard:3
user:16,70,leaderboard:3
user:17,397,leaderboard:3
user:18,471,leaderboard:3
user:19,417,leaderboard:2
user:20,98,leaderboard:3
user:21,478,leaderboard:3
user:22,323,leaderboard:3
user:23,300,leaderboard:2
user:24,13,leaderboard:3
user:25,65,leaderboard:3
user:26,471,leaderboard:2
user:27,359,leaderboard:3
user:28,299,leaderboard:2
user:29,221,leaderboard:3
user:30,148,leaderboard:3
user:31,192,leaderboard:2
user:32,417,leaderboard:2
user:33,490,leaderboard:3
user:34,436,leaderboard:2
user:35,417,leaderboard:2
user:36,48,leaderboard:2
user:37,309,leaderboard:2
user:38,353,leaderboard:2
user:39,38,leaderboard:2
user:40,74,leaderboard:3
user:41,77,leaderboard:2
user:42,42,leaderboard:3
user:43,439,leaderboard:3
user:44,360,leaderboard:3
user:45,18,leaderboard:2
user:46,417,leaderboard:3
user:47,204,leaderboard:2
user:48,486,leaderboard:2
user:49,21,leaderboard:2
user:50,256,leaderboard:3
user:51,446,leaderboard:3
user:52,401,leaderboard:2
user:53,154,leaderboard:3
user:54,407,leaderboard:2
user:55,431,leaderboard:3
user:56,95,leaderboard:3
user:57,419,leaderboard:3
user:58,427,leaderboard:2
user:59,65,leaderboard:3
user:60,226,leaderboard:3
user:61,68,leaderboard:3
user:62,183,leaderboard:2
user:63,190,leaderboard:3
user:64,328,leaderboard:2
user:65,483,leaderboard:2
user:66,154,leaderboard:3
user:67,176,leaderboard:3
user:68,66,leaderboard:2
user:69,135,leaderboard:2
user:70,373,leaderboard:3
user:71,2,leaderboard:2
user:72,221,leaderboard:2
user:73,109,leaderboard:3
user:74,222,leaderboard:2
user:75,293,leaderboard:3
user:76,12,leaderboard:2
user:77,491,leaderboard:3
user:78,10,leaderboard:2
user:79,297,leaderboard:2
user:80,27,leaderboard:2
user:81,138,leaderboard:3
user:82,62,leaderboard:2
user:83,330,leaderboard:2
user:84,66,leaderboard:2
user:85,457,leaderboard:3
user:86,325,leaderboard:3
user:87,21,leaderboard:3
user:88,356,leaderboard:3
user:89,326,leaderboard:2
user:90,288,leaderboard:2
user:91,9,leaderboard:3
user:92,154,leaderboard:3
user:93,190,leaderboard:2
user:94,337,leaderboard:2
user:95,324,leaderboard:2
user:96,490,leaderboard:3
user:97,106,leaderboard:2
user:98,16,leaderboard:3
user:99,310,leaderboard:2
user:100,318,leaderboard:3
user:101,250,leaderboard:2
user:102,469,leaderboard:2
user:103,274,leaderboard:2
user:104,171,leaderboard:3
user:105,393,leaderboard:3
user:106,261,leaderboard:2
user:107,476,leaderboard:2
user:108,441,leaderboard:3
user:109,362,leaderboard:3
user:110,89,leaderboard:2
user:111,185,leaderboard:3
user:112,252,leaderboard:3
user:113,300,leaderboard:2
user:114,363,leaderboard:3
user:115,216,leaderboard:2
user:116,471,leaderboard:2
user:117,319,leaderboard:3
user:118,465,leaderboard:3
user:119,270,leaderboard:3
user:120,266,leaderboard:2
user:121,228,leaderboard:2
user:122,4,leaderboard:2
user:123,380,leaderboard:3
user:124,240,leaderboard:2
user:125,51,leaderboard:2
user:126,262,leaderboard:3
user:127,428,leaderboard:3
user:128,51,leaderboard:3
user:129,464,leaderboard:3
user:130,8,leaderboard:2
user:131,484,leaderboard:2
user:132,94,leaderboard:3
user:133,54,leaderboard:2
user:134,346,leaderboard:3
user:135,144,leaderboard:3
user:136,224,leaderboard:3
user:137,17,leaderboard:2
user:138,224,leaderboard:2
user:139,124,leaderboard:2
user:140,192,leaderboard:3
user:141,471,leaderboard:2
user:142,247,leaderboard:3
user:143,70,leaderboard:3
user:144,418,leaderboard:2
user:145,44,leaderboard:2
user:146,462,leaderboard:3
user:147,400,leaderboard:2
user:148,431,leaderboard:3
user:149,241,leaderboard:2
user:150,311,leaderboard:2
user:151,490,leaderboard:3
user:152,299,leaderboard:3
user:153,363,leaderboard:3
user:154,8,leaderboard:3
user:155,132,leaderboard:3
user:156,103,leaderboard:2
user:157,377,leaderboard:3
user:158,145,leaderboard:3
user:159,4,leaderboard:3
user:160,38,leaderboard:3
user:161,166,leaderboard:2
user:162,441,leaderboard:3
user:163,252,leaderboard:3
user:164,495,leaderboard:2
user:165,40,leaderboard:2
user:166,122,leaderboard:3
user:167,390,leaderboard:3
user:168,8,leaderboard:2
user:169,150,leaderboard:3
user:170,45,leaderboard:2
user:171,396,leaderboard:3
user:172,291,leaderboard:3
user:173,208,leaderboard:3
user:174,314,leaderboard:3
user:175,210,leaderboard:3
user:176,125,leaderboard:3
user:177,457,leaderboard:3
user:178,263,leaderboard:2
user:179,340,leaderboard:2
user:180,232,leaderboard:2
user:181,367,leaderboard:3
user:182,362,leaderboard:3
user:183,382,leaderboard:2
user:184,356,leaderboard:2
user:185,376,leaderboard:3
user:186,262,leaderboard:3
user:187,31,leaderboard:2
user:188,142,leaderboard:2
user:189,269,leaderboard:3
user:190,403,leaderboard:3
user:191,37,leaderboard:2
user:192,65,leaderboard:3
user:193,454,leaderboard:2
user:194,290,leaderboard:2
user:195,133,leaderboard:2
user:196,29,leaderboard:2
user:197,434,leaderboard:3
user:198,309,leaderboard:2
user:199,116,leaderboard:2
user:200,461,leaderboard:3
user:201,213,leaderboard:2
user:202,140,leaderboard:2
user:203,80,leaderboard:2
user:204,119,leaderboard:3
user:205,194,leaderboard:3
user:206,122,leaderboard:3
user:207,297,leaderboard:3
user:208,80,leaderboard:2
user:209,372,leaderboard:2
user:210,173,leaderboard:3
user:211,291,leaderboard:2
user:212,286,leaderboard:2
user:213,199,leaderboard:3
user:214,168,leaderboard:3
user:215,445,leaderboard:3
user:216,313,leaderboard:2
user:217,32,leaderboard:3
user:218,447,leaderboard:3
user:219,319,leaderboard:3
user:220,473,leaderboard:2
user:221,442,leaderboard:2
user:222,1,leaderboard:3
user:223,423,leaderboard:3
user:224,155,leaderboard:3
user:225,455,leaderboard:2
user:226,148,leaderboard:2
user:227,313,leaderboard:2
user:228,331,leaderboard:3
user:229,470,leaderboard:2
user:230,412,leaderboard:3
user:231,217,leaderboard:2
user:232,439,leaderboard:3
user:233,155,leaderboard:3
user:234,152,leaderboard:2
user:235,321,leaderboard:2
user:236,415,leaderboard:3
user:237,78,leaderboard:2
user:238,383,leaderboard:2
user:239,448,leaderboard:2
user:240,488,leaderboard:3
user:241,181,leaderboard:2
user:242,123,leaderboard:3
user:243,72,leaderboard:3
user:244,411,leaderboard:3
user:245,423,leaderboard:3
user:246,494,leaderboard:3
user:247,494,leaderboard:3
user:248,194,leaderboard:2
user:249,68,leaderboard:3
user:250,259,leaderboard:2
user:251,10,leaderboard:3
user:252,489,leaderboard:3
user:253,87,leaderboard:2
user:254,403,leaderboard:3
user:255,34,leaderboard:3
user:256,199,leaderboard:2
user:257,62,leaderboard:3
user:258,321,leaderboard:2
user:259,464,leaderboard:3
user:260,7,leaderboard:3
user:261,278,leaderboard:2
user:262,157,leaderboard:2
user:263,471,leaderboard:2
user:264,456,leaderboard:2
user:265,369,leaderboard:2
user:266,316,leaderboard:3
user:267,480,leaderboard:3
user:268,400,leaderboard:3
user:269,467,leaderboard:2
user:270,203,leaderboard:3
user:271,332,leaderboard:3
user:272,69,leaderboard:3
user:273,281,leaderboard:2
user:274,219,leaderboard:2
user:275,448,leaderboard:3
user:276,241,leaderboard:2
user:277,373,leaderboard:2
user:278,114,leaderboard:3
user:279,323,leaderboard:3
user:280,464,leaderboard:3
user:281,168,leaderboard:2
user:282,346,leaderboard:3
user:283,306,leaderboard:3
user:284,51,leaderboard:2
user:285,362,leaderboard:3
user:286,138,leaderboard:3
user:287,395,leaderboard:2
user:288,33,leaderboard:2
user:289,439,leaderboard:3
user:290,34,leaderboard:3
user:291,198,leaderboard:3
user:292,101,leaderboard:2
user:293,412,leaderboard:2
user:294,341,leaderboard:2
user:295,254,leaderboard:2
user:296,40,leaderboard:3
user:297,227,leaderboard:2
user:298,456,leaderboard:2
user:299,113,leaderboard:2
user:300,28,leaderboard:3
user:301,473,leaderboard:2
user:302,210,leaderboard:3
user:303,412,leaderboard:2
user:304,200,leaderboard:2
user:305,136,leaderboard:3
user:306,13,leaderboard:2
user:307,146,leaderboard:2
user:308,255,leaderboard:3
user:309,108,leaderboard:2
user:310,221,leaderboard:3
user:311,475,leaderboard:3
user:312,460,leaderboard:2
user:313,57,leaderboard:3
user:314,362,leaderboard:3
user:315,144,leaderboard:3
user:316,299,leaderboard:3
user:317,4,leaderboard:2
user:318,498,leaderboard:2
